,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME/FE
Original,0.0,1.6193254677849733,1.650268464698025,1.7509785335531398,1.7223960663684885,1.6481360106103766
ComBat,1.6193254677849733,0.0,0.09631634113559398,0.34691251676769475,0.342171889975543,0.31868223606732177
ComBat-joint,1.650268464698025,0.09631634113559398,0.0,0.32502593670190105,0.31647155689354756,0.30660591706929846
CovBat,1.7509785335531398,0.34691251676769475,0.32502593670190105,0.0,0.07821160871985737,0.4801070541760613
RELIEF,1.7223960663684885,0.342171889975543,0.31647155689354756,0.07821160871985737,0.0,0.45700226416607287
LME/FE,1.6481360106103766,0.31868223606732177,0.30660591706929846,0.4801070541760613,0.45700226416607287,0.0
