seed,method,eta2,R2_perm,p_perm,r_pre_post,r_within,age_R2,age_R2_gain,n
0,Original,0.3724621608535129,0.3724621608535129,0.001,1.0,1.0,0.009000380398800042,0.0,98
0,ComBat,0.0007041904552025056,0.0007041904552025358,1.0,0.7586316374001497,0.9991020287000065,0.006241091311212547,-0.0027592890875874953,98
0,ComBat-joint,0.0019797237889685433,0.0019797237889683144,1.0,0.786355797192483,0.9995235249716042,0.006493402841225227,-0.002506977557574815,98
0,CovBat,0.0016843322132498518,0.0016843322132499984,1.0,0.779189678625207,0.9951437480672028,0.006468032673634302,-0.00253234772516574,98
0,RELIEF,0.0018578087354380582,0.0018578087354382212,1.0,0.7850266197419815,0.9969643634907799,0.00654996114999671,-0.002450419248803332,98
0,LME,0.0007067377390615134,0.0007067377390612831,1.0,0.7844021497190041,1.0,0.00794867973571611,-0.0010517006630839324,98
1,Original,0.4006305111003947,0.40063051110039477,0.001,1.0,1.0,0.008157814901567103,0.0,98
1,ComBat,0.00030219497612861385,0.00030219497612860935,1.0,0.727424190163037,0.9981579614378392,0.0026439383851629998,-0.0055138765164041035,98
1,ComBat-joint,0.0011919887678809886,0.001191988767881092,1.0,0.7551399447959539,0.9988015051054654,0.0030089815339335545,-0.005148833367633549,98
1,CovBat,0.0011055766940354541,0.0011055766940352943,1.0,0.743928466310443,0.9937000729371546,0.003623331941262991,-0.004534482960304112,98
1,RELIEF,0.0011188118278897537,0.0011188118278899807,1.0,0.7544828382055451,0.9959170254959407,0.0030579999071944372,-0.005099814994372666,98
1,LME,0.0004906311912442165,0.0004906311912441894,1.0,0.7646129829205652,1.0,0.0049053329315675315,-0.0032524819699995718,98
2,Original,0.3432368750064808,0.3432368750064809,0.001,1.0,1.0,0.007034784904774438,0.0,98
2,ComBat,0.0008140300040443863,0.0008140300040443666,1.0,0.7720029824928885,0.9968029112590685,0.010716866670738423,0.003682081765963985,98
2,ComBat-joint,0.0022072695066903294,0.002207269506690164,0.999,0.7991090739228777,0.9979872505403972,0.012020619198037453,0.004985834293263014,98
2,CovBat,0.002316519804568308,0.002316519804568072,0.999,0.771145396973921,0.9656031509617694,0.011699283042009803,0.004664498137235365,98
2,RELIEF,0.0021077473836321786,0.002107747383631971,0.999,0.7814568382000641,0.9711806735653283,0.012693270475991671,0.005658485571217233,98
2,LME,0.0012307566462367728,0.0012307566462369864,1.0,0.8031645209748755,1.0,0.015183719463432515,0.008148934558658076,98
3,Original,0.3906755509231417,0.39067555092314143,0.001,1.0,1.0,0.0035338441560719253,0.0,98
3,ComBat,0.0004545937110492192,0.0004545937110492849,1.0,0.7333044948402421,0.9983845089047595,0.009728611632632375,0.006194767476560449,98
