seed,method,eta2,R2_perm,p_perm,r_pre_post,r_within,age_R2,age_R2_gain,n
0,Original,0.3692157717182962,0.3692157717182963,0.001,1.0,1.0,0.008516401772014036,0.0,75
0,ComBat,0.0014853618166743737,0.0014853618166745263,1.0,0.7587730581306726,0.9989072696757916,0.005623808109606695,-0.0028925936624073405,75
0,ComBat-joint,0.0035942146308979147,0.0035942146308978328,0.999,0.7917417332129013,0.9994847552056155,0.005556695492736172,-0.002959706279277864,75
0,CovBat,0.003164826242974639,0.00316482624297502,1.0,0.7663050825538631,0.9684141473283043,0.006302157457264885,-0.002214244314749151,75
0,RELIEF,0.0034239542242934457,0.0034239542242930094,0.998,0.7720418421314778,0.9711297458103124,0.0059817582015911155,-0.0025346435704229203,75
0,LME,0.0016035200273121803,0.0016035200273123943,1.0,0.7898184205634999,1.0,0.0064232275755312105,-0.0020931741964828254,75
1,Original,0.43143680423351705,0.43143680423351694,0.001,1.0,1.0,0.009263330826854104,0.0,75
1,ComBat,0.0011790757417617322,0.0011790757417617212,1.0,0.7029248566458263,0.997982812200632,0.0049855906500007804,-0.004277740176853324,75
1,ComBat-joint,0.002552732347254079,0.0025527323472541263,1.0,0.7360207500898563,0.998612566323656,0.004884179243588194,-0.004379151583265911,75
1,CovBat,0.0023522514625954377,0.0023522514625957075,1.0,0.7121528233079397,0.9893982989923386,0.005899279548449693,-0.0033640512784044114,75
1,RELIEF,0.0024814224509421287,0.0024814224509422424,1.0,0.7350490100155854,0.9953893656471985,0.004983057160212055,-0.004280273666642049,75
1,LME,0.001094212389450905,0.0010942123894507932,1.0,0.7418067588760551,1.0,0.006000978824170588,-0.003262352002683516,75
2,Original,0.3366467331974652,0.3366467331974649,0.001,1.0,1.0,0.007476499339389656,0.0,75
2,ComBat,0.0001660727119567393,0.00016607271195672035,1.0,0.7714606643474643,0.9980880775758684,0.00727758764038676,-0.0001989116990028959,75
2,ComBat-joint,0.002186049721972138,0.0021860497219718883,1.0,0.805795191937937,0.9987513049403426,0.008441364462427487,0.0009648651230378304,75
2,CovBat,0.00202125073993207,0.0020212507399321564,1.0,0.7827379120073065,0.9715266904628358,0.00812298660046796,0.0006464872610783042,75
2,RELIEF,0.001972658442257255,0.001972658442257398,0.999,0.7891911552701618,0.9743290877731047,0.008830675458069249,0.0013541761186795925,75
2,LME,0.0007120831076531215,0.0007120831076531432,1.0,0.8098145139339137,1.0,0.009754500863922787,0.0022780015245331305,75
3,Original,0.38499570107703174,0.3849957010770317,0.001,1.0,1.0,0.0033370022849873,0.0,75
