method,biomarker1,biomarker2,r
ComBat,RD,GM_CSA_mm2,-0.07901226777071736
ComBat,RD,MTR,-0.09480390990346878
ComBat,RD,MTsat,0.09665963833145533
ComBat,RD,FA,-0.8499055755301422
ComBat,RD,MD,0.9622541906551613
ComBat,RD,AD,0.7605645005259729
ComBat,RD,RD,1.0
ComBat-joint,T2w_CSA,T2w_CSA,0.9999999999999999
ComBat-joint,T2w_CSA,GM_CSA_mm2,0.7511814593269227
ComBat-joint,T2w_CSA,MTR,0.08639359230421974
ComBat-joint,T2w_CSA,MTsat,0.04484892441567966
ComBat-joint,T2w_CSA,FA,0.12408528801085757
ComBat-joint,T2w_CSA,MD,-0.18023341367638182
ComBat-joint,T2w_CSA,AD,-0.20153032335428644
ComBat-joint,T2w_CSA,RD,-0.16668924128682794
ComBat-joint,GM_CSA_mm2,T2w_CSA,0.7511814593269227
ComBat-joint,GM_CSA_mm2,GM_CSA_mm2,1.0
ComBat-joint,GM_CSA_mm2,MTR,0.16127637337940617
ComBat-joint,GM_CSA_mm2,MTsat,0.1851751571618334
ComBat-joint,GM_CSA_mm2,FA,0.06927243487430207
ComBat-joint,GM_CSA_mm2,MD,-0.0854429276724568
ComBat-joint,GM_CSA_mm2,AD,-0.10019222932162097
ComBat-joint,GM_CSA_mm2,RD,-0.09149401785895234
ComBat-joint,MTR,T2w_CSA,0.08639359230421974
ComBat-joint,MTR,GM_CSA_mm2,0.16127637337940617
ComBat-joint,MTR,MTR,1.0
ComBat-joint,MTR,MTsat,0.5935560254893066
ComBat-joint,MTR,FA,0.053934854759896365
ComBat-joint,MTR,MD,-0.11707479536594842
ComBat-joint,MTR,AD,-0.09450986287953349
ComBat-joint,MTR,RD,-0.11311537464302585
ComBat-joint,MTsat,T2w_CSA,0.044848924415679656
ComBat-joint,MTsat,GM_CSA_mm2,0.1851751571618334
ComBat-joint,MTsat,MTR,0.5935560254893066
ComBat-joint,MTsat,MTsat,0.9999999999999999
ComBat-joint,MTsat,FA,-0.09119229260982685
ComBat-joint,MTsat,MD,0.10885773985318976
ComBat-joint,MTsat,AD,0.10655538844250328
ComBat-joint,MTsat,RD,0.09297480287393223
ComBat-joint,FA,T2w_CSA,0.12408528801085758
ComBat-joint,FA,GM_CSA_mm2,0.06927243487430207
ComBat-joint,FA,MTR,0.05393485475989636
ComBat-joint,FA,MTsat,-0.09119229260982685
ComBat-joint,FA,FA,1.0
ComBat-joint,FA,MD,-0.7346041335121658
ComBat-joint,FA,AD,-0.4195415023583991
ComBat-joint,FA,RD,-0.8635705168086413
ComBat-joint,MD,T2w_CSA,-0.18023341367638182
ComBat-joint,MD,GM_CSA_mm2,-0.08544292767245681
ComBat-joint,MD,MTR,-0.11707479536594842
ComBat-joint,MD,MTsat,0.10885773985318978
ComBat-joint,MD,FA,-0.7346041335121658
ComBat-joint,MD,MD,1.0
ComBat-joint,MD,AD,0.9023931012687156
ComBat-joint,MD,RD,0.9675490688544363
ComBat-joint,AD,T2w_CSA,-0.20153032335428644
ComBat-joint,AD,GM_CSA_mm2,-0.10019222932162096
ComBat-joint,AD,MTR,-0.09450986287953349
ComBat-joint,AD,MTsat,0.10655538844250328
ComBat-joint,AD,FA,-0.4195415023583991
ComBat-joint,AD,MD,0.9023931012687156
ComBat-joint,AD,AD,1.0
ComBat-joint,AD,RD,0.7732297967659693
ComBat-joint,RD,T2w_CSA,-0.16668924128682797
ComBat-joint,RD,GM_CSA_mm2,-0.09149401785895235
ComBat-joint,RD,MTR,-0.11311537464302585
ComBat-joint,RD,MTsat,0.09297480287393223
ComBat-joint,RD,FA,-0.8635705168086412
ComBat-joint,RD,MD,0.9675490688544363
ComBat-joint,RD,AD,0.7732297967659693
ComBat-joint,RD,RD,1.0
CovBat,T2w_CSA,T2w_CSA,1.0
CovBat,T2w_CSA,GM_CSA_mm2,0.9410182735589004
CovBat,T2w_CSA,MTR,0.11318197049737631
CovBat,T2w_CSA,MTsat,-0.012431253680703995
CovBat,T2w_CSA,FA,0.09731579759768236
CovBat,T2w_CSA,MD,-0.1985807271671617
CovBat,T2w_CSA,AD,-0.24532927250283817
CovBat,T2w_CSA,RD,-0.1729389471555448
CovBat,GM_CSA_mm2,T2w_CSA,0.9410182735589004
CovBat,GM_CSA_mm2,GM_CSA_mm2,0.9999999999999999
CovBat,GM_CSA_mm2,MTR,0.15275078825913632
CovBat,GM_CSA_mm2,MTsat,0.259686050282914
CovBat,GM_CSA_mm2,FA,0.07844206574129599
CovBat,GM_CSA_mm2,MD,-0.08138045798863563
CovBat,GM_CSA_mm2,AD,-0.09598779580374589
CovBat,GM_CSA_mm2,RD,-0.08887603926355826
CovBat,MTR,T2w_CSA,0.11318197049737629
CovBat,MTR,GM_CSA_mm2,0.15275078825913632
CovBat,MTR,MTR,1.0
CovBat,MTR,MTsat,0.6127882021723211
CovBat,MTR,FA,0.07107498266919939
CovBat,MTR,MD,-0.09895908531454002
CovBat,MTR,AD,-0.061660178700094076
CovBat,MTR,RD,-0.10607338564198736
CovBat,MTsat,T2w_CSA,-0.012431253680703996
CovBat,MTsat,GM_CSA_mm2,0.259686050282914
CovBat,MTsat,MTR,0.6127882021723212
CovBat,MTsat,MTsat,1.0
CovBat,MTsat,FA,-0.08800739737892539
CovBat,MTsat,MD,0.11316715804808278
CovBat,MTsat,AD,0.11815712285887188
CovBat,MTsat,RD,0.09254689843758812
CovBat,FA,T2w_CSA,0.09731579759768236
CovBat,FA,GM_CSA_mm2,0.07844206574129599
CovBat,FA,MTR,0.07107498266919939
CovBat,FA,MTsat,-0.08800739737892538
CovBat,FA,FA,1.0
CovBat,FA,MD,-0.7483740408260541
CovBat,FA,AD,-0.4282258601449055
CovBat,FA,RD,-0.8818809595451499
CovBat,MD,T2w_CSA,-0.1985807271671617
CovBat,MD,GM_CSA_mm2,-0.08138045798863565
CovBat,MD,MTR,-0.09895908531454001
CovBat,MD,MTsat,0.11316715804808278
CovBat,MD,FA,-0.7483740408260541
CovBat,MD,MD,0.9999999999999998
CovBat,MD,AD,0.9189859706402117
CovBat,MD,RD,0.9723500635511529
CovBat,AD,T2w_CSA,-0.24532927250283817
CovBat,AD,GM_CSA_mm2,-0.0959877958037459
CovBat,AD,MTR,-0.061660178700094076
CovBat,AD,MTsat,0.11815712285887187
CovBat,AD,FA,-0.4282258601449055
CovBat,AD,MD,0.9189859706402116
CovBat,AD,AD,1.0
CovBat,AD,RD,0.8022343354337342
CovBat,RD,T2w_CSA,-0.1729389471555448
CovBat,RD,GM_CSA_mm2,-0.08887603926355828
CovBat,RD,MTR,-0.10607338564198734
CovBat,RD,MTsat,0.09254689843758812
CovBat,RD,FA,-0.8818809595451499
CovBat,RD,MD,0.9723500635511529
CovBat,RD,AD,0.8022343354337342
CovBat,RD,RD,1.0
RELIEF,T2w_CSA,T2w_CSA,1.0
RELIEF,T2w_CSA,GM_CSA_mm2,0.9422929586263112
RELIEF,T2w_CSA,MTR,0.11346577861620043
RELIEF,T2w_CSA,MTsat,-0.003432002839557531
RELIEF,T2w_CSA,FA,0.11384651059380509
RELIEF,T2w_CSA,MD,-0.19858685696708508
RELIEF,T2w_CSA,AD,-0.2343808836076742
RELIEF,T2w_CSA,RD,-0.17927218846904924
RELIEF,GM_CSA_mm2,T2w_CSA,0.9422929586263113
RELIEF,GM_CSA_mm2,GM_CSA_mm2,1.0
RELIEF,GM_CSA_mm2,MTR,0.14477317133721157
RELIEF,GM_CSA_mm2,MTsat,0.25943085417031014
RELIEF,GM_CSA_mm2,FA,0.09316654508998956
RELIEF,GM_CSA_mm2,MD,-0.0791171799337727
RELIEF,GM_CSA_mm2,AD,-0.08400086279966645
RELIEF,GM_CSA_mm2,RD,-0.09248892685233012
RELIEF,MTR,T2w_CSA,0.11346577861620043
RELIEF,MTR,GM_CSA_mm2,0.14477317133721154
RELIEF,MTR,MTR,1.0
RELIEF,MTR,MTsat,0.6162400525549233
RELIEF,MTR,FA,0.05822501806144481
RELIEF,MTR,MD,-0.11516929384914333
RELIEF,MTR,AD,-0.09078012065407189
RELIEF,MTR,RD,-0.11309282939723353
RELIEF,MTsat,T2w_CSA,-0.0034320028395575315
RELIEF,MTsat,GM_CSA_mm2,0.2594308541703101
RELIEF,MTsat,MTR,0.6162400525549233
RELIEF,MTsat,MTsat,1.0
RELIEF,MTsat,FA,-0.10198115716385603
RELIEF,MTsat,MD,0.10501464260302443
RELIEF,MTsat,AD,0.09862189882379804
RELIEF,MTsat,RD,0.09215854018088858
RELIEF,FA,T2w_CSA,0.11384651059380509
RELIEF,FA,GM_CSA_mm2,0.09316654508998955
RELIEF,FA,MTR,0.058225018061444804
RELIEF,FA,MTsat,-0.10198115716385604
RELIEF,FA,FA,1.0
RELIEF,FA,MD,-0.7416551541558346
RELIEF,FA,AD,-0.4205358536157531
RELIEF,FA,RD,-0.878042074495396
RELIEF,MD,T2w_CSA,-0.19858685696708508
RELIEF,MD,GM_CSA_mm2,-0.07911717993377268
RELIEF,MD,MTR,-0.11516929384914333
RELIEF,MD,MTsat,0.10501464260302441
RELIEF,MD,FA,-0.7416551541558346
RELIEF,MD,MD,1.0
RELIEF,MD,AD,0.9196130459051173
RELIEF,MD,RD,0.9718980135340396
RELIEF,AD,T2w_CSA,-0.2343808836076742
RELIEF,AD,GM_CSA_mm2,-0.08400086279966645
RELIEF,AD,MTR,-0.09078012065407189
RELIEF,AD,MTsat,0.09862189882379804
RELIEF,AD,FA,-0.4205358536157531
RELIEF,AD,MD,0.9196130459051174
RELIEF,AD,AD,1.0
RELIEF,AD,RD,0.8020252393557342
RELIEF,RD,T2w_CSA,-0.17927218846904924
RELIEF,RD,GM_CSA_mm2,-0.09248892685233012
RELIEF,RD,MTR,-0.11309282939723354
RELIEF,RD,MTsat,0.09215854018088858
RELIEF,RD,FA,-0.878042074495396
RELIEF,RD,MD,0.9718980135340396
RELIEF,RD,AD,0.8020252393557343
RELIEF,RD,RD,1.0
LME/FE,T2w_CSA,T2w_CSA,1.0
LME/FE,T2w_CSA,GM_CSA_mm2,0.7512071135927292
LME/FE,T2w_CSA,MTR,0.02741938813276537
LME/FE,T2w_CSA,MTsat,0.05229451882866863
LME/FE,T2w_CSA,FA,0.1464416665177395
LME/FE,T2w_CSA,MD,-0.210524833455354
LME/FE,T2w_CSA,AD,-0.19156432189268832
LME/FE,T2w_CSA,RD,-0.19975410720313902
LME/FE,GM_CSA_mm2,T2w_CSA,0.7512071135927292
LME/FE,GM_CSA_mm2,GM_CSA_mm2,1.0
LME/FE,GM_CSA_mm2,MTR,0.09695089911552882
LME/FE,GM_CSA_mm2,MTsat,0.2035660563341578
LME/FE,GM_CSA_mm2,FA,0.07078045724053428
LME/FE,GM_CSA_mm2,MD,-0.1069176019023701
LME/FE,GM_CSA_mm2,AD,-0.07791983379594795
LME/FE,GM_CSA_mm2,RD,-0.11088087595434734
LME/FE,MTR,T2w_CSA,0.02741938813276537
LME/FE,MTR,GM_CSA_mm2,0.09695089911552883
LME/FE,MTR,MTR,1.0
LME/FE,MTR,MTsat,0.4763135364182214
LME/FE,MTR,FA,0.03393265996136427
LME/FE,MTR,MD,-0.14859342112596816
LME/FE,MTR,AD,-0.19915122168497884
LME/FE,MTR,RD,-0.10998643892972823
LME/FE,MTsat,T2w_CSA,0.052294518828668625
LME/FE,MTsat,GM_CSA_mm2,0.2035660563341578
LME/FE,MTsat,MTR,0.47631353641822144
LME/FE,MTsat,MTsat,1.0
LME/FE,MTsat,FA,-0.09577022224646785
LME/FE,MTsat,MD,0.11567499004473163
LME/FE,MTsat,AD,0.1338364019882216
LME/FE,MTsat,RD,0.09578260401852248
LME/FE,FA,T2w_CSA,0.1464416665177395
LME/FE,FA,GM_CSA_mm2,0.07078045724053428
LME/FE,FA,MTR,0.03393265996136427
LME/FE,FA,MTsat,-0.09577022224646783
LME/FE,FA,FA,1.0
LME/FE,FA,MD,-0.7850965860543428
LME/FE,FA,AD,-0.4079011306007802
LME/FE,FA,RD,-0.8942266483275296
LME/FE,MD,T2w_CSA,-0.210524833455354
LME/FE,MD,GM_CSA_mm2,-0.10691760190237011
LME/FE,MD,MTR,-0.14859342112596816
LME/FE,MD,MTsat,0.11567499004473161
LME/FE,MD,FA,-0.7850965860543428
LME/FE,MD,MD,1.0
LME/FE,MD,AD,0.8658667501324278
LME/FE,MD,RD,0.9694860907316993
LME/FE,AD,T2w_CSA,-0.1915643218926883
LME/FE,AD,GM_CSA_mm2,-0.07791983379594797
