,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME/FE
Original,0.0,1.526807689040252,1.569520681024499,1.6863211244361962,1.6453329965982064,1.5620884441994929
ComBat,1.526807689040252,0.0,0.109114217312433,0.35286270217943155,0.3358078560828258,0.3494231561756856
ComBat-joint,1.569520681024499,0.109114217312433,0.0,0.3195398288981711,0.3043205231186061,0.32382351403727594
CovBat,1.6863211244361962,0.35286270217943155,0.3195398288981711,0.0,0.0942869107031184,0.5001210374214758
RELIEF,1.6453329965982064,0.3358078560828258,0.3043205231186061,0.0942869107031184,0.0,0.46705284213650866
LME/FE,1.5620884441994929,0.3494231561756856,0.32382351403727594,0.5001210374214758,0.46705284213650866,0.0
