cohort,n_complete,n_pc_total,k_kept,pc_var_threshold,cum_var_kept,var_pc1,var_pc2,var_pc3,var_pc4,var_pc5
HC,188,8,5,0.95,0.9586145987536409,0.37887823134228393,0.28264425737687104,0.19439673859579915,0.055390240952429115,0.04730513048625759
ALL,246,8,5,0.95,0.9558979530403029,0.36454710695623443,0.28311603262630347,0.20158918995094977,0.05982510212990775,0.04682052137690755
