method,eta2_mean,eta2_sd,R2_mean,R2_sd,r_mean,r_sd,age_gain_mean,age_gain_sd
LME,0.001269982042353702,0.000863890324677406,0.001269982042353727,0.0008638903246773563,0.7721200101150572,0.014614103105840864,0.005585017295129369,0.007618670358458243
ComBat,0.0010047044300116258,0.0007746635020237424,0.0010047044300116094,0.0007746635020236942,0.7320018395507472,0.016992810772722654,0.0015443938235049281,0.005972408982098682
ComBat-joint,0.0022212814871600635,0.0007633891333766382,0.0022212814871600322,0.0007633891333765814,0.7677190750320081,0.015763847251167196,0.002620970934713933,0.006322484866512519
RELIEF,0.002041559952991199,0.0008272104728654999,0.002041559952991141,0.0008272104728654428,0.7537064959951725,0.014301951157941235,0.0031980709296867936,0.006735128397564454
CovBat,0.0018869616183177095,0.0009003734851809303,0.0018869616183177604,0.0009003734851810018,0.7429692745414316,0.01713757378167012,0.00322508637549561,0.006923317405563797
