method,eta2_mean,eta2_sd,R2_mean,R2_sd,r_mean,r_sd,r_within_mean,r_within_sd,age_gain_mean,age_gain_sd
LME,0.0009228770224838841,0.0008603399326083289,0.0009228770224838702,0.0008603399326083195,0.7793329018610523,0.0112851398283382,1.0,0.0,0.006378916953847888,0.007039002072828309
ComBat,0.0007072252337181384,0.0006449203356117433,0.0007072252337181194,0.0006449203356117608,0.7452884703412955,0.014884374041587056,0.9980313220406345,0.0010208669688355513,0.0041182827000066455,0.006001590830214198
ComBat-joint,0.0013551966849817327,0.0004422675419839854,0.0013551966849817125,0.00044226754198386874,0.7734470371181664,0.014032729145647826,0.9987881849642193,0.0006285322249366639,0.004423688398743633,0.00610150781217211
RELIEF,0.001251705563615108,0.0004667577269061097,0.0012517055636151885,0.00046675772690604446,0.7600764255209603,0.014701483818147683,0.9791324117932593,0.01140711655573742,0.004919443953394182,0.006443261004899011
CovBat,0.0012388991215541146,0.0005913808805026213,0.0012388991215541122,0.0005913808805026735,0.748722638116166,0.015998364634363944,0.9754443910116658,0.012338886727920769,0.005233951337279319,0.006690333989384362
