subject,site,vendor,field_strength,n_slices_t2star,SC_CSA_t2star,GM_CSA_t2star,WM_CSA_t2star,GM_WM_ratio_t2star,GM_SC_frac_t2star,voxel_dx,voxel_dy,voxel_dz
sub-amu01,amu,Siemens,3T,15,81.0333,15.0667,66.1667,0.2277,0.1859,0.5,0.5,5.0
sub-amu02,amu,Siemens,3T,15,80.45,14.8167,65.7333,0.2254,0.1842,0.5,0.5,5.0
sub-amu03,amu,Siemens,3T,15,75.0333,11.35,63.8167,0.1779,0.1513,0.5,0.5,5.0
sub-amu04,amu,Siemens,3T,15,71.7333,14.6833,57.15,0.2569,0.2047,0.5,0.5,5.0
sub-amu05,amu,Siemens,3T,15,80.3,15.2833,65.15,0.2346,0.1903,0.5,0.5,5.0
sub-balgrist01,balgrist,Siemens,3T,15,67.6167,15.7,51.9833,0.302,0.2322,0.5,0.5,5.0
sub-balgrist02,balgrist,Siemens,3T,15,73.55,14.3,59.5167,0.2403,0.1944,0.5,0.5,5.0
sub-balgrist03,balgrist,Siemens,3T,15,67.5333,15.4,52.3,0.2945,0.228,0.5,0.5,5.0
sub-balgrist04,balgrist,Siemens,3T,15,71.0667,15.6167,55.7167,0.2803,0.2197,0.5,0.5,5.0
sub-balgrist05,balgrist,Siemens,3T,15,76.6,16.6,60.1333,0.2761,0.2167,0.5,0.5,5.0
sub-balgrist06,balgrist,Siemens,3T,15,73.2333,15.9833,57.3833,0.2785,0.2183,0.5,0.5,5.0
sub-barcelona01,barcelona,Siemens,3T,15,75.6833,15.0333,60.95,0.2467,0.1986,0.5,0.5,5.0
sub-barcelona02,barcelona,Siemens,3T,15,87.6333,17.9333,69.8333,0.2568,0.2046,0.5,0.5,5.0
sub-barcelona03,barcelona,Siemens,3T,15,77.9833,15.9167,62.4333,0.2549,0.2041,0.5,0.5,5.0
sub-barcelona04,barcelona,Siemens,3T,15,88.6833,16.8,71.9833,0.2334,0.1894,0.5,0.5,5.0
sub-barcelona05,barcelona,Siemens,3T,15,68.0333,16.1,52.3333,0.3076,0.2366,0.5,0.5,5.0
sub-barcelona06,barcelona,Siemens,3T,15,74.75,17.15,57.9,0.2962,0.2294,0.5,0.5,5.0
sub-beijingGE01,beijingGE,GE,3T,15,75.1206,17.6477,57.9068,0.3048,0.2349,0.438,0.438,5.0
